Report no.,Category,Title [text],Author [text],Year,Description [text],Project type [options],Targeted user [text],Findings (What conclusions were drawn from the research?) [text],Outputs (How were the findings applied?) [text],Challenges the project faced [text],What kind of budget was it? [text],Methods [options],Website / Links to videos [link],Partner/Sponsor [text],Connections [number]
11,City and community,e-scape: digital business incubators for social regeneration,Jennifer Brown,2001,This study examined the urban infrastructure and workplace needs of technology start-up companies.,Policy guidelines,companies,"Categorised business incubators into the following types: community, commerical, innovation, internet, live work. These differ in their relationships with the startup, for example internet incubators provide cheap support packages which can be provided via the internet whereas innovation incubators are larger companies which invite small start-ups into their offices to exchange business expertise for innovation.","This research contributed to Tower Hamlets regeneration strategy, in particular to proposals for the site of Poplar Baths.",,,"Observation, Desk Research",,"Gestetner in a consortium with Geoffrey Reid Associates, GMW Partnership, Jones Lang LaSalle, Peabody Trust and Roneo Office Systems",15
135,City and community,Cities in the shade: sustainable urban lighting in the public realm,Megan Charnley,2011,This study investigated shifts in trends and concerns in urban lighting and sought to discover a way of balancing energy efficiency with a sense of identity.,Design guidelines,urban communities,Discovered a shift in concerns in urban lighting from crime prevention and wayfinding to developing a sense of urban identity to benefit the people who live in the areas being lit.,"The Nighttime Neighbourhood Network lighting strategy of brightly-lit nodes. A working prototype of TubeLite. A strip light within a steel tube mount, used to construct illuminated goal posts on a local football pitch.",lack of overlap between the research and product design phases meant it was difficult to evaluate what the original participating community groups thought of the goal posts,,"Individual Interviews, Mapping, Desk Research",,Megaman Charity Trust Fund and Paviom
86,City and community,Metricity: Exploring new measures of urban density,Paul Clarke,2008,"This study examined current national and local policy guidelines which define the density levels prescribed to urban and inner city development in order to provide discourse about how to plan, define and measure the density metric of sustainable communities.",Conceptual framework,urban communities,"Uncovered a growing shift of employment density towards the Central Business District, establishing a greater mono-centric city as declining outer London office space and increased office development in central London has created a greater reliance on mobility to reach employment opportunities.","Devised four density principles for investigating the policy contribution of different factors in relation to user need: intensity (mixed-use density), amenity (typological denisty), autonomy (density of inhabitation), frequency (density of interaction).",confidentiality issues and continuous workload stream of individuals involved in the case study live-project restricted their ability to contribute to the research,"9,951 + CIK? 38,311","Individual Interviews, Focus Groups, Desk Research",http://www.metricity.net/,"3D Reid, Arup, British Council for Offices, Child Graddon Lewis, Fletcher Priest Trust, UrbanBuzz"
101,City and community,Blighted landscapes: the narrative role of street lighting in urban regeneration,Matthew Dearlove,2004,This study sets out a design framework for Tower Hamlets to develop its own identity and environment and suggests ways in which Targetti can engage with public housing and public space so that street lighting plays a narrative role in urban regeneration.,Design Concepts,urban communities,"Around observed sites there was unused space which had become a meeting point for drinking, drug-use, etc. while none of the community organisations shared communal space for acitivities and seemed to lack communication. Interviews revealed that the key issues to be resolved were security, disruptive and anti-social behaviour, stairwells, corridors and dark corners, relationship between street and estate, access across estate, lighting, green areas, play areas for children and communal seating.","Produced a site strategy for St Peters Square involving a public strip separated by a wall providing a lit screen, message box, private allotments and a football pitch/cinema.",,,"Individual Interviews, Observation, Desk Research",,Targetti
54,City and community,Light.urban.landscape: Lighting strategies for regenerating the city,Harry Dobbs,2002,This study looked at the role of public lighting in regenerating complex urban areas in order to develop a set of guidelines on how to approach urban lighting with consideration given to the wider cultural context of the city.,Design guidelines,urban communities,Uncovered a complex range of issues and agendas that are inherent within our central urban fabric which illustated the need for a coherent approach with which to handle them.,"A set of guidelines for lighting to support urban regeneration, divided into marketing, art and landscape phases to inform Targetti's development and marketing of products and services as well as action for any local authority engaged in urban regeneration.",,190000 for Research wayfinding project,"Individual Interviews, Desk Research",,Targetti
28,City and community,Food for thought: a service-based approach for embedding innovation,Re Dubhthaigh; Toke Barter,2006,"This project explored the role of innovation in corporate organisations, to 'demystify' innovation practice and create, through a service-based approach, a framework for embedding innovation tools and processes into everyday working life.",Business model,companies,"Innovation is encouraged but not supported by businesses. Most innovation models invite short, external injections of fresh ideas and much of the knowledge gained at these events is lost when everyday work routines begin again. Innovation processes and tools often lack a guiding framework within organisations. Using external innovation consultants leads to a perceived loss of project ownership by internal teams. Innovation is misrepresented as a moment of magical or divine inspiration leading to the belief that the process of innovation is only available to the 'gifted few'. New kinds of working environments are often under-utilised due to organisational mindsets.","Proposition of an in-house, cross-organisational innovation support service with a framework that is analogous to the service structure of a restaurant, offering 'Innovation Snacking', 'Fast Food Innovation', 'Gourmet Innovation' with 'the chef' providing leadership at a strategic level, 'the cooks' forming a creative production team and 'the waiters' liasing between different groups.",,,"Individual Interviews, Workshops, Desk Research",,BOX at the LSE DEGW
71,City and community,"Light Volumes, Dark Matters: patterns for sustainable lighting",Claudia Dutson,2009,This project considered how light can be used in office buildings to support the health and productivity of workers and to increase energy efficiency.,Design guidelines,office workers,"Discovered the main problems workers have with light in offices are too much brightness, not enough natural light, too dark, unchanging or fluorescent lighting all day.",Model of a tower inside which visitors can change the lighting by removing or adding walls to serve as a research tool in workshops.,,,"Individual Interviews, Workshops",,Megaman Charity Trust Fund
111,City and community,Glowing Places: interactive lighting for large public interiors,Megumi Fujikawa,2004,This project explored innovative ways for people to interact with light in public space and demonstrated the role of lighting in signifying changing emotional states.,Physical prototypes,urban communities,Most people interviewed had negative or no impression of the interior lighting condition of a shopping centre but have a positive response to the ambiguous lighting pulse of a light ball and associate it with their body.,A chair that glows with different intensities depending on how long people sit on it to be placed around shopping centres.,,,"Individual Interviews, Observation, Desk Research",,Philips Design
55,City and community,Creative Citizens,Catherine Greene; Dan Lockton,2014,"This project investigated how the tools and techniques of the creative economy are being used to build new community networks and innovative forms of civic life. One strand examined the development of hyperlocal media across the UK to investigate the role of community journalism in holding local power to account and giving citizens a voice. Another strand sought to understand the value of community-led design as a type of creative citizenship and how media can support or transform this practice. A third strand explored how 'South Blessed', an informal youth network of creative citizens, generated value through its activities and a fourth explored how professional creative citizenship and its related network was embodied through 'the Moseley Exchange' a co-working space, and how it overlaped with other types of creative citizenship in Moseley.",Business model,creatives,Both audience and producer play a creative citizenship role in hyperlocal news although local citizens are not always being effectively engaged by their hyperlocal organisations' choice of approach. Most communities require support to benefit from access to media tools. Participation in creative community projects fuels participants sense of public voice and drive to contribute to a wider shared culture. Creative citizenship cannot be classed as an uncontested unified body as enactments of creativitiy and citizenship are diverse and there can even exist tensions between different (e.g. social and environmental) objectives.,"The Creative Citizens Conference, held in 2014. Indigo Babies, a 32 page comic that tells the story of a group of inner city youth with superhuman talents and special techno powers caught up in having to make moral choices during a moment of community insurrection. Crown Root Publications, a self-publishing arm. Creative Citizens' Variety Pack, a collection of 12 inspirational community projects, all making use of digital tools in creative ways for social benefit, with practical suggestions and advice.",,,"Individual Interviews, Observation, Workshops, Mapping, Co-Design, Desk Research",,Connected Communities AHRC and EPSRC
204,City and community,Totalscape: work/live business incubators for the creative industries,Yan Ki Lee,2001,This project developed a framework for understanding the living requirements for those running a creative business from home and applied this framework to developing a design proposal which aims to meet these requirements.,Design Concepts,creatives,"There are stages in the development of the relationship between the work/live space and business growth: workspace mixes with home, workspace spreads over home, workspace separates from home and consideration should be given to ways of facilitating a smooth transition from the first to the third stage.","Totalscape, an alternative campus-scale design proposal involving three levels: work/live components, community and campus.",,,"Individual Interviews, Observation",,"Peabody Trust in a consortium with Geoffrey Reid Associates, GMW Partnership, Jones Lang LaSalle, Gestetner and Roneo Office Systems",11
183,City and community,Wandervogel: involving the local community in on-street digital networks,Indri Tulusan,2003,This project developed interactive content for an on-street digital information system with the aim of engaging local communities.,Physical prototypes,communities,,"Culture Cloud, a map of location-based blogs hosted by local residents or community groups.",Cityspace raised concern about legal issues relating to content being unfiltered,,"Individual Interviews, Observation, Workshops, Scenarios, Desk Research",,Cityspace
15,Health and wellbeing,The heart friendly office: a communication tool for architects and designers,Mike Bond; Martin Coyne,2002,This project looks at ways in which workplace designers can help reduce levels of heart disease in the UK in order to produce a web-based information tool aimed at promoting healthier practice in office design.,Design guidelines,office designers,"The major factors in the workplace that contribute to Coronary Heart Disease are stress, temperature, attitudes to stairs, location of car park, shift work, ergonomics and hydration.","Heart Friendly Office, a communication channel with an internet-ased information set comprising a Healoth Information Databse, Best Practice Case Studies and Feedback Advice.",,,"Individual Interviews, Observation, Focus Groups",,British Heart Foundation
40,Health and wellbeing,Pluspoint: an auto-injector system for anaphylaxis attack,Jamie Cobb,2005,This project summarises the concept of an automatic adrenaline administering technology to help those that experience allergic reactions,Physical prototypes,Those with severe allergies,"Many poeple, particularaly younger children struggle with administering adrenaline auto-injectors. Prohibitive size, trauma experiance, poor labelling are all problems with the current auto injectors (epipen and anapen).","Design and Development of Pluspoint, an improved adrenaline auto injector that is both significantly smaller and more intuitive to use, developed to the point of Initial Prototypes and IP protection.",,,"Individual Interviews, Mockups and Rapid Prototyping",,Audi Design Foundation
36,Health and wellbeing,Ambulance Design for Patient Safety: towards a national ambulance fleet Future ambulances,Roger Coleman; Dale Harrow; Evans Owen; Merih Kunur; Sally Halls,2006,This project investigates the developing needs of service provision and the short and long term requirements of vehicles and equipment that will be needed to address the concerns of patient and staff safety in the future in the Ambulance Service and recommends primary considerations for emergency care vehicles and equipment.,Design guidelines,ambulance designers,"Discovered that there is a lack of consistency in ambulance design which reduces efficiency but a strong desire for standardisation in design of ambulances and that the composition of ambulance fleets is changing due to improved response systems, increased care and provision of a wider range of services, leading to a requirement for three core vehicle types.",Identified nine design challenges and expanded these into a series of performance requirements and established a three stage design direction and design ideas for the core vehicles.,there was a divergence between the National Reporting and Learning System data and the incidents reported by individual trusts used by researchers to provide the framework for workshop discussion,,"Workshops, Desk Research",,National Patient Safety Agency
37,Health and wellbeing,Reading the signs: wayfinding for dementia,Lottie Crumbleholme,2013,This study looks at how residents living with dementia find their way around in Bupa care homes and makes recommendations for improving signage.,Design guidelines,carehome designers,Signage should not be thought about in isolation but in the context of its environment including considering aspects of interior design as well as what life is like in the homes day to day.,A set of guidelines for designing carehomes to support residents living with dementia in finding their way around.,,,"Individual Interviews, Observation, Workshops",,Bupa UK
3,Health and wellbeing,Design bugs out: improving patient safety on hospital wards,Grace Davey,2009,"This project brought designers together with clinical specialists, patients and frontline staff to make hospital furniture and equipment easier and quicker to clean to help control the risk of healthcare associated infections.",Physical prototypes,hospital workers,,Several hospital furniture prototypes which were showcased at key healthcare events and at seven NHS hospitals.,,,"Mockups and Rapid Prototyping, Workshops",,"Design Council, NHS Purchasing and Supply Agency, Department of Health"
203,Health and wellbeing,Redesigning the ambulance: improving mobile emergency healthcare,Gianpaolo Fusari; Yusuf Muhammad,2010,This project builds on existing evidence and previous work to redesign the interior of the modern emergency ambulance.,Physical prototypes,hospitals,"In the original design, the side loader concept was the least popular modification and least likely to succeed and the repositioning of the stretcher into the middle of the vehicle was the most popular. In the second design the most popular modifications were the introduction of a bariatric stretcher and moving and handling equipment in the same cupboard accessible from inside and outside the vehicle.",A final prototype of an ambulance interior for testing and feedback before building and road testing the new ambulance.,,,"Individual Interviews, Observation, Mockups and Rapid Prototyping, Scenarios",,NHS London,36
80,Health and wellbeing,Resus:station: redesign of the resuscitation trolley,Sally Halls; Jonathan West,2006,"This project reconsidered the design of the resusitation trolley, in order to promote faster and more efficient treatment.",Physical prototypes,"surgeons, nurses","A large number of design triggers generated from shortcomings that clinicians treat as 'a fact of life'. Co-design took these ideas further with 4 main functions: of splitting, storage, resusitation, and restocking.","Final Prototype for redesigned station, with direct feedback from users, ready for the next design iteration.",,,"Individual Interviews, Observation, Workshops, Mapping, Co-Design",,National Patient Safety Agency
66,Health and wellbeing,Body 2.0: extending ability through 3D printed technology,Jordan Jon Hodgson,2015,This project considered how people could extend their ability by looking at the possibilities presented by the emerging field of low cost open source 3D printed prosthetics. The research aimed to focus upon the emotional context relating to the look and feel of the prosthetics as opposed to the mechatronic success of the function.,Physical prototypes,limb loss patients,Participants were excited by the opportunity to express their personalities through a bespoke limb including through tattoos.,Several 3D printed prosthetic test models.,,,"Workshops, Co-Design",,The London Legacy Development Corporation
